Make,Price,Year,Kilometer,Fuel Type,Transmission,Location,Owner,Seller Type,Engine,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Max Power bhp,Max Torque Nm,Height_yj,Price_yj
Honda,505000,2017,87150,Petrol,Manual,Pune,First,Corporate,1198.0,FWD,3990.0,1680.0,1505.0,5.0,35.0,87.0,109.0,-6.661338147750939e-16,-0.6290458058520085
Maruti Suzuki,450000,2014,75000,Diesel,Manual,Ludhiana,Second,Individual,1248.0,FWD,3995.0,1695.0,1555.0,5.0,42.0,74.0,190.0,-1.1102230246251565e-16,-0.7733853845356201
Hyundai,220000,2011,67000,Petrol,Manual,Lucknow,First,Individual,1197.0,FWD,3585.0,1595.0,1550.0,5.0,35.0,79.0,112.7619,-1.6653345369377348e-16,-1.7223303930070282
Toyota,799000,2019,37500,Petrol,Manual,Mangalore,First,Individual,1197.0,FWD,3995.0,1745.0,1510.0,5.0,37.0,82.0,113.0,-6.38378239159465e-16,-0.07693770896116159
Toyota,1950000,2018,69000,Diesel,Manual,Mumbai,First,Individual,2393.0,RWD,4735.0,1830.0,1795.0,7.0,55.0,148.0,343.0,1.582067810090848e-15,0.901725675099341
Maruti Suzuki,675000,2017,73315,Petrol,Manual,Pune,First,Individual,1373.0,FWD,4490.0,1730.0,1485.0,5.0,43.0,91.0,130.0,-9.43689570931383e-16,-0.275836649101891
Mercedes-Benz,1898999,2015,47000,Petrol,Automatic,Mumbai,Second,Individual,1991.0,FWD,4630.0,1777.0,1432.0,5.0,50.0,181.0,300.0,-1.6930901125533637e-15,0.8743566796178464
BMW,2650000,2017,75000,Diesel,Automatic,Coimbatore,Second,Individual,1995.0,AWD,4439.0,1821.0,1612.0,5.0,51.0,188.0,400.0,3.885780586188048e-16,1.2113154685943162
Skoda,1390000,2017,56000,Petrol,Automatic,Mumbai,First,Individual,1798.0,FWD,4670.0,1814.0,1476.0,5.0,50.0,177.0,250.0,-1.0547118733938987e-15,0.5444996892696671
Nissan,575000,2015,85000,Diesel,Manual,Mumbai,First,Individual,1461.0,FWD,4331.0,1822.0,1671.0,5.0,50.0,84.0,200.0,8.604228440844963e-16,-0.46927667376648424
Hyundai,591000,2017,20281,Petrol,Manual,Mumbai,First,Individual,1197.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,82.0,115.0,-6.661338147750939e-16,-0.43586137503540706
Renault,459999,2018,22541,Petrol,Manual,Bangalore,First,Individual,999.0,FWD,3679.0,1579.0,1478.0,5.0,28.0,67.0,91.0,-1.0269562977782698e-15,-0.7456989055913031
Maruti Suzuki,1075000,2019,30672,Petrol,Automatic,Bangalore,First,Individual,1462.0,FWD,4490.0,1730.0,1485.0,5.0,43.0,103.0,138.0,-9.43689570931383e-16,0.26196962565685
Tata,1695000,2019,20856,Diesel,Manual,Bangalore,First,Individual,1956.0,FWD,4598.0,1894.0,1706.0,5.0,50.0,138.0,350.0,1.0824674490095276e-15,0.7558565306965528
Volkswagen,944999,2017,41417,Petrol,Automatic,Bangalore,First,Individual,1197.0,FWD,3971.0,1682.0,1469.0,5.0,45.0,103.0,175.0,-1.1379786002407855e-15,0.11645062689823694
Maruti Suzuki,569000,2016,11471,Petrol,Automatic,Bangalore,First,Individual,998.0,FWD,3695.0,1600.0,1560.0,5.0,35.0,67.0,90.0,-5.551115123125783e-17,-0.48208113046879253
Maruti Suzuki,449000,2019,3583,Petrol,Manual,Bangalore,First,Individual,796.0,FWD,3445.0,1515.0,1475.0,5.0,35.0,47.0,69.0,-1.0547118733938987e-15,-0.7761927524315789
Maruti Suzuki,894999,2018,21365,Petrol,Automatic,Bangalore,First,Individual,1197.0,FWD,3995.0,1745.0,1510.0,5.0,37.0,82.0,113.0,-6.38378239159465e-16,0.05429740057974087
Maruti Suzuki,699000,2020,30777,Petrol,Automatic,Bangalore,First,Individual,1197.0,FWD,3655.0,1620.0,1675.0,5.0,32.0,82.0,113.0,8.881784197001252e-16,-0.2342511178225339
Hyundai,740000,2016,60125,Petrol,Manual,Delhi,First,Individual,1591.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,122.0,154.0,5.551115123125783e-16,-0.16683512294064787
Maruti Suzuki,470000,2020,2169,Petrol,Automatic,Mumbai,First,Individual,998.0,FWD,3565.0,1520.0,1564.0,5.0,27.0,67.0,90.0,-2.7755575615628914e-17,-0.7186835521333422
Volkswagen,765000,2015,60240,Petrol,Automatic,Bangalore,First,Individual,1197.0,FWD,4384.0,1699.0,1466.0,5.0,55.0,103.0,153.0,-1.1934897514720433e-15,-0.12778122760412505
Hyundai,589000,2018,13772,Petrol,Automatic,Bangalore,First,Individual,1086.0,FWD,3610.0,1645.0,1560.0,5.0,35.0,68.0,99.0,-5.551115123125783e-17,-0.43998163614211977
Hyundai,999000,2019,27464,Petrol,Manual,Bangalore,First,Individual,998.0,FWD,3995.0,1770.0,1605.0,5.0,45.0,118.0,172.0,3.608224830031759e-16,0.17950730115137484
